#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2665340.933877228,300.0931013337796,2026.3723826081703,1.0006501920000839,0
4000,-2673167.42547008,300.4414639216868,2008.112092509047,1.0097493667233608,65.1
6000,-2675626.36909621,300.9674941605166,2001.205702013947,1.0132341276461152,65.6
8000,-2677375.7450028043,301.12969273926973,2001.8264574210207,1.0129199292993822,64.4
10000,-2678978.415457811,301.62842954697675,1997.3612292869268,1.0151843762604893,64.5
12000,-2676131.218046237,299.9056650223097,2001.6475888092516,1.01301044452424,64.7
14000,-2677468.073563272,300.15400775946193,2000.750418034549,1.0134646957677251,63.8
16000,-2677562.0508927964,300.78009588005995,1999.3126798372837,1.0141934946791609,63.8
18000,-2679899.4618984666,300.43960704979395,1996.9061728405536,1.015415717222302,64
20000,-2680261.688683545,300.26347429946566,1996.004867400089,1.0158742329930865,64
22000,-2680473.0292461924,299.1546009124412,1999.4123729255919,1.0141429257805203,64
24000,-2679798.834763754,300.14533490589696,2000.7648842146725,1.013457368088719,64
26000,-2676360.6016166806,299.76467610102236,1999.6820795708704,1.0140061434944063,63.8
28000,-2677458.503761448,300.8272168955998,1997.806634727692,1.0149580437232424,63.9
30000,-2680056.713925289,301.5851381922809,1996.7076329260142,1.015516683706526,63.8
32000,-2679244.1541117188,300.5258642690637,1997.825467894642,1.0149484758833127,63.7
34000,-2679425.6434868965,301.4422418699996,1995.819086040131,1.0159687959210955,63.7
36000,-2678330.642596254,300.0611813281945,1996.3084622060062,1.015719740765838,63.6
38000,-2681520.025781339,300.0605305827837,1997.4751960724004,1.0151264544899197,63.5
40000,-2678000.858065972,301.3407087602291,1995.9360449666347,1.0159092616389065,63.5
42000,-2676054.9992695395,299.8880123370451,1997.047365958981,1.0153439263804531,63.5
44000,-2676522.86650924,300.9506455288804,2001.132936942585,1.013270970802431,63.4
46000,-2680337.2105150353,301.09886549770255,1997.007902967195,1.0153639906520902,63.3
48000,-2680769.0629975386,299.84806869701686,1997.754539934318,1.0149845104530204,63.2
50000,-2680126.5312226973,299.77409847063615,1997.7874912796615,1.014967769380575,63
52000,-2680221.2874704488,300.03360623199666,1997.5164274649762,1.015105500931399,62.8
54000,-2682342.6438257545,299.9729475437221,1995.8930015512644,1.0159311707313743,62.7
56000,-2681297.280518215,300.38136701613695,1994.9807284229148,1.0163957399846542,62.6
58000,-2680140.8617238924,301.0155881527198,1995.7893404171584,1.0159839381127802,62.4
60000,-2681142.3753265496,300.6122571774288,1994.027443433153,1.0168816484438261,62.3
